,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT
0,201985,AJ Price,1610612739,CLE,26,11,15,324.0,34,84,0.405,5,29,0.172,73,0.435
1,201166,Aaron Brooks,1610612741,CHI,82,50,32,1885.0,115,298,0.386,53,150,0.353,283,0.475
2,203932,Aaron Gordon,1610612753,ORL,47,14,33,797.0,6,21,0.286,1,2,0.5,13,0.31
3,203940,Adreian Payne,1610612750,MIN,32,7,25,740.0,10,24,0.417,0,0,0.0,20,0.417
4,201143,Al Horford,1610612737,ATL,76,56,20,2318.0,16,40,0.4,0,3,0.0,32,0.4
5,2744,Al Jefferson,1610612766,CHA,65,25,40,1992.0,34,103,0.33,1,1,1.0,69,0.335
6,202329,Al-Farouq Aminu,1610612742,DAL,74,45,29,1366.0,8,22,0.364,0,3,0.0,16,0.364
7,101187,Alan Anderson,1610612751,BKN,74,35,39,1744.0,35,109,0.321,13,42,0.31,83,0.381
8,202692,Alec Burks,1610612762,UTA,27,9,18,899.0,42,116,0.362,8,24,0.333,92,0.397
9,203945,Alex Kirk,1610612739,CLE,5,2,3,14.0,0,0,0.0,0,0,0.0,0,0.0
10,203458,Alex Len,1610612756,PHX,69,35,34,1518.0,4,14,0.286,0,0,0.0,8,0.286
11,203144,Alexey Shved,1610612752,NYK,42,10,32,767.0,36,116,0.31,22,70,0.314,94,0.405
12,201582,Alexis Ajinca,1610612740,NOP,68,41,27,957.0,13,23,0.565,0,0,0.0,26,0.565
13,203459,Allen Crabbe,1610612757,POR,51,36,15,683.0,2,24,0.083,0,5,0.0,4,0.083
14,202087,Alonzo Gee,1610612757,POR,54,21,33,661.0,4,22,0.182,0,3,0.0,8,0.182
15,2405,Amar'e Stoudemire,1610612742,DAL,58,19,39,1236.0,7,21,0.333,0,2,0.0,14,0.333
16,101161,Amir Johnson,1610612761,TOR,75,44,31,1979.0,2,5,0.4,0,0,0.0,4,0.4
17,2760,Anderson Varejao,1610612739,CLE,26,16,10,636.0,4,8,0.5,0,0,0.0,8,0.5
18,203958,Andre Dawkins,1610612748,MIA,4,2,2,22.0,0,1,0.0,0,1,0.0,0,0.0
19,203083,Andre Drummond,1610612765,DET,82,32,50,2502.0,6,22,0.273,0,0,0.0,12,0.273
20,2738,Andre Iguodala,1610612744,GSW,77,64,13,2069.0,40,105,0.381,10,26,0.385,90,0.429
21,1889,Andre Miller,1610612758,SAC,81,44,37,1253.0,41,93,0.441,1,9,0.111,83,0.446
22,203460,Andre Roberson,1610612760,OKC,67,41,26,1286.0,1,5,0.2,1,4,0.25,3,0.3
23,200745,Andrea Bargnani,1610612752,NYK,29,5,24,785.0,23,54,0.426,0,0,0.0,46,0.426
24,1905,Andrei Kirilenko,1610612751,BKN,7,3,4,36.0,0,0,0.0,0,0,0.0,0,0.0
25,101106,Andrew Bogut,1610612744,GSW,67,58,9,1583.0,5,18,0.278,0,0,0.0,10,0.278
26,203094,Andrew Nicholson,1610612753,ORL,40,14,26,492.0,9,17,0.529,1,2,0.5,19,0.559
27,203952,Andrew Wiggins,1610612750,MIN,81,16,65,2937.0,105,347,0.303,5,29,0.172,215,0.31
28,203461,Anthony Bennett,1610612750,MIN,56,12,44,885.0,9,33,0.273,0,1,0.0,18,0.273
29,203076,Anthony Davis,1610612740,NOP,68,39,29,2455.0,85,205,0.415,0,4,0.0,170,0.415
30,201627,Anthony Morrow,1610612760,OKC,74,42,32,1806.0,60,141,0.426,3,20,0.15,123,0.436
31,201229,Anthony Tolliver,1610612765,DET,76,36,40,1433.0,3,10,0.3,0,4,0.0,6,0.3
32,203462,Archie Goodwin,1610612756,PHX,41,16,25,535.0,9,35,0.257,1,7,0.143,19,0.271
33,202620,Arinze Onuaku,1610612750,MIN,6,0,6,68.0,0,0,0.0,0,0,0.0,0,0.0
34,203382,Aron Baynes,1610612759,SAS,70,49,21,1122.0,1,3,0.333,0,0,0.0,2,0.333
35,201167,Arron Afflalo,1610612757,POR,78,35,43,2502.0,121,292,0.414,10,37,0.27,252,0.432
36,201948,Austin Daye,1610612737,ATL,34,17,17,344.0,11,30,0.367,2,4,0.5,24,0.4
37,203085,Austin Rivers,1610612746,LAC,76,46,30,1563.0,39,131,0.298,6,23,0.261,84,0.321
38,202340,Avery Bradley,1610612738,BOS,77,37,40,2428.0,143,367,0.39,21,74,0.284,307,0.418
39,2732,Ben Gordon,1610612753,ORL,56,17,39,790.0,65,157,0.414,11,40,0.275,141,0.449
40,203463,Ben McLemore,1610612758,SAC,82,29,53,2670.0,64,157,0.408,17,49,0.347,145,0.462
41,2757,Beno Udrih,1610612763,MEM,79,55,24,1494.0,120,249,0.482,4,23,0.174,244,0.49
42,203108,Bernard James,1610612742,DAL,16,6,10,158.0,0,0,0.0,0,0,0.0,0,0.0
43,202687,Bismack Biyombo,1610612766,CHA,64,26,38,1243.0,0,0,0.0,0,0,0.0,0,0.0
44,201933,Blake Griffin,1610612746,LAC,67,47,20,2356.0,64,176,0.364,3,9,0.333,131,0.372
45,202711,Bojan Bogdanovic,1610612751,BKN,78,36,42,1854.0,32,94,0.34,4,21,0.19,68,0.362
46,2564,Boris Diaw,1610612759,SAS,81,55,26,1984.0,31,83,0.373,3,9,0.333,65,0.392
47,203078,Bradley Beal,1610612764,WAS,63,37,26,2107.0,111,319,0.348,16,42,0.381,238,0.373
48,201148,Brandan Wright,1610612756,PHX,75,37,38,1449.0,3,12,0.25,0,1,0.0,6,0.25
49,101138,Brandon Bass,1610612738,BOS,82,40,42,1929.0,41,95,0.432,0,2,0.0,82,0.432
50,203561,Brandon Davies,1610612755,PHI,27,6,21,423.0,6,12,0.5,0,3,0.0,12,0.5
51,201943,Brandon Jennings,1610612765,DET,41,17,24,1173.0,94,264,0.356,46,131,0.351,234,0.443
52,202688,Brandon Knight,1610612756,PHX,62,32,30,2000.0,140,377,0.371,48,123,0.39,328,0.435
53,201575,Brandon Rush,1610612744,GSW,33,27,6,271.0,4,17,0.235,0,3,0.0,8,0.235
54,2217,Brendan Haywood,1610612739,CLE,22,14,8,119.0,0,1,0.0,0,0,0.0,0,0.0
55,203148,Brian Roberts,1610612766,CHA,72,30,42,1330.0,88,227,0.388,25,73,0.342,201,0.443
56,201572,Brook Lopez,1610612751,BKN,72,34,38,2100.0,34,94,0.362,0,2,0.0,68,0.362
57,203998,Bruno Caboclo,1610612761,TOR,8,7,1,23.0,1,3,0.333,1,1,1.0,3,0.5
58,203955,Bryce Cotton,1610612762,UTA,15,9,6,159.0,14,34,0.412,3,7,0.429,31,0.456
59,201228,C.J. Watson,1610612754,IND,57,25,32,1422.0,66,168,0.393,16,52,0.308,148,0.44
60,203468,CJ McCollum,1610612757,POR,62,37,25,973.0,51,132,0.386,10,25,0.4,112,0.424
61,101139,CJ Miles,1610612754,IND,70,31,39,1841.0,61,164,0.372,13,53,0.245,135,0.412
62,203912,CJ Wilcox,1610612746,LAC,21,15,6,101.0,4,6,0.667,2,2,1.0,10,0.833
63,203946,Cameron Bairstow,1610612741,CHI,18,12,6,64.0,0,1,0.0,0,0,0.0,0,0.0
64,201171,Carl Landry,1610612758,SAC,70,26,44,1192.0,18,30,0.6,0,0,0.0,36,0.6
65,2430,Carlos Boozer,1610612747,LAL,71,18,53,1692.0,63,149,0.423,0,0,0.0,126,0.423
66,2546,Carmelo Anthony,1610612752,NYK,39,10,29,1400.0,101,276,0.366,14,47,0.298,216,0.391
67,2406,Caron Butler,1610612765,DET,78,30,48,1623.0,60,137,0.438,9,30,0.3,129,0.471
68,201858,Cartier Martin,1610612765,DET,23,7,16,198.0,5,12,0.417,1,4,0.25,11,0.458
69,202718,Chandler Parsons,1610612742,DAL,66,41,25,2186.0,56,129,0.434,21,50,0.42,133,0.516
70,101112,Channing Frye,1610612753,ORL,75,23,52,1870.0,11,39,0.282,1,10,0.1,23,0.295
71,101111,Charlie Villanueva,1610612742,DAL,64,37,27,678.0,11,26,0.423,3,8,0.375,25,0.481
72,201978,Chase Budinger,1610612750,MIN,66,8,58,1282.0,15,42,0.357,0,5,0.0,30,0.357
73,2365,Chris Andersen,1610612748,MIA,59,26,33,1103.0,0,8,0.0,0,2,0.0,0,0.0
74,2547,Chris Bosh,1610612748,MIA,44,19,25,1556.0,78,183,0.426,2,10,0.2,158,0.432
75,203142,Chris Copeland,1610612754,IND,50,19,31,828.0,12,53,0.226,4,26,0.154,28,0.264
76,201604,Chris Douglas-Roberts,1610612746,LAC,12,5,7,103.0,0,1,0.0,0,0,0.0,0,0.0
77,203187,Chris Johnson,1610612762,UTA,29,9,20,527.0,5,15,0.333,2,6,0.333,12,0.4
78,2549,Chris Kaman,1610612757,POR,74,47,27,1398.0,13,30,0.433,0,0,0.0,26,0.433
79,101108,Chris Paul,1610612746,LAC,82,56,26,2857.0,374,789,0.474,81,216,0.375,829,0.525
80,101236,Chuck Hayes,1610612761,TOR,29,17,12,255.0,0,0,0.0,0,0,0.0,0,0.0
81,203921,Cleanthony Early,1610612752,NYK,39,6,33,647.0,13,31,0.419,2,6,0.333,28,0.452
82,203991,Clint Capela,1610612745,HOU,12,8,4,90.0,0,0,0.0,0,0,0.0,0,0.0
83,203469,Cody Zeller,1610612766,CHA,62,27,35,1487.0,7,20,0.35,0,0,0.0,14,0.35
84,202332,Cole Aldrich,1610612752,NYK,60,11,49,962.0,2,10,0.2,0,0,0.0,4,0.2
85,201147,Corey Brewer,1610612745,HOU,79,42,37,2063.0,41,128,0.32,6,25,0.24,88,0.344
86,203928,Cory Jefferson,1610612751,BKN,50,18,32,531.0,7,18,0.389,0,1,0.0,14,0.389
87,202709,Cory Joseph,1610612759,SAS,79,53,26,1444.0,54,123,0.439,2,9,0.222,110,0.447
88,201584,Courtney Lee,1610612763,MEM,77,51,26,2354.0,91,203,0.448,3,8,0.375,185,0.456
89,201571,D.J. Augustin,1610612760,OKC,82,37,45,1964.0,78,227,0.344,39,118,0.331,195,0.43
90,2563,Dahntay Jones,1610612746,LAC,33,23,10,123.0,1,6,0.167,0,0,0.0,2,0.167
91,203081,Damian Lillard,1610612757,POR,82,51,31,2925.0,214,584,0.366,107,318,0.336,535,0.458
92,204014,Damjan Rudez,1610612754,IND,68,28,40,1047.0,19,47,0.404,4,16,0.25,42,0.447
93,201568,Danilo Gallinari,1610612743,DEN,59,23,36,1426.0,41,124,0.331,13,43,0.302,95,0.383
94,101122,Danny Granger,1610612756,PHX,29,10,19,590.0,9,22,0.409,1,2,0.5,19,0.432
95,201980,Danny Green,1610612759,SAS,81,55,26,2312.0,56,176,0.318,23,84,0.274,135,0.384
96,201967,Dante Cunningham,1610612740,NOP,66,37,29,1652.0,5,20,0.25,0,3,0.0,10,0.25
97,203957,Dante Exum,1610612762,UTA,82,38,44,1817.0,14,74,0.189,7,26,0.269,35,0.236
98,203121,Darius Miller,1610612740,NOP,5,1,4,43.0,1,4,0.25,0,0,0.0,2,0.25
99,202721,Darius Morris,1610612751,BKN,38,14,24,299.0,8,41,0.195,1,13,0.077,17,0.207
100,201589,Darrell Arthur,1610612743,DEN,58,22,36,988.0,13,33,0.394,0,3,0.0,26,0.394
101,201954,Darren Collison,1610612758,SAC,45,16,29,1565.0,123,274,0.449,28,71,0.394,274,0.5
102,101135,David Lee,1610612744,GSW,49,37,12,904.0,6,18,0.333,0,1,0.0,12,0.333
103,204065,David Stockton,1610612758,SAC,3,1,2,33.0,1,3,0.333,0,1,0.0,2,0.333
104,204033,David Wear,1610612758,SAC,2,0,2,7.0,0,0,0.0,0,0,0.0,0,0.0
105,2561,David West,1610612754,IND,66,32,34,1895.0,28,89,0.315,0,1,0.0,56,0.315
106,201599,DeAndre Jordan,1610612746,LAC,82,56,26,2820.0,1,3,0.333,1,3,0.333,3,0.5
107,201971,DeJuan Blair,1610612764,WAS,29,15,14,180.0,1,6,0.167,0,0,0.0,2,0.167
108,201942,DeMar DeRozan,1610612761,TOR,60,37,23,2100.0,169,480,0.352,3,21,0.143,341,0.355
109,202326,DeMarcus Cousins,1610612758,SAC,59,23,36,2013.0,54,149,0.362,0,1,0.0,108,0.362
110,201960,DeMarre Carroll,1610612737,ATL,70,53,17,2189.0,24,70,0.343,4,22,0.182,52,0.371
111,203471,Dennis Schroder,1610612737,ATL,77,57,20,1516.0,80,204,0.392,22,53,0.415,182,0.446
112,101114,Deron Williams,1610612751,BKN,68,34,34,2114.0,94,284,0.331,20,75,0.267,208,0.366
113,202324,Derrick Favors,1610612762,UTA,74,33,41,2280.0,17,60,0.283,0,2,0.0,34,0.283
114,201565,Derrick Rose,1610612741,CHI,51,33,18,1530.0,122,356,0.343,37,136,0.272,281,0.395
115,202682,Derrick Williams,1610612758,SAC,74,27,47,1462.0,25,84,0.298,6,20,0.3,56,0.333
116,2734,Devin Harris,1610612742,DAL,76,45,31,1685.0,48,141,0.34,22,69,0.319,118,0.418
117,203906,Devyn Marble,1610612753,ORL,16,3,13,208.0,3,6,0.5,0,1,0.0,6,0.5
118,203473,Dewayne Dedmon,1610612753,ORL,59,17,42,845.0,0,2,0.0,0,1,0.0,0,0.0
119,203079,Dion Waiters,1610612760,OKC,79,46,33,2180.0,116,322,0.36,14,52,0.269,246,0.382
120,1717,Dirk Nowitzki,1610612742,DAL,77,47,30,2282.0,117,257,0.455,7,17,0.412,241,0.469
121,202388,Donald Sloan,1610612754,IND,53,22,31,1107.0,36,117,0.308,15,54,0.278,87,0.372
122,202700,Donatas Motiejunas,1610612745,HOU,70,47,23,2006.0,7,14,0.5,1,1,1.0,15,0.536
123,2748,Dorell Wright,1610612757,POR,48,28,20,593.0,6,32,0.188,3,9,0.333,15,0.234
124,203926,Doug McDermott,1610612741,CHI,36,23,13,321.0,5,13,0.385,1,3,0.333,11,0.423
125,203110,Draymond Green,1610612744,GSW,79,64,15,2490.0,14,48,0.292,1,8,0.125,29,0.302
126,2400,Drew Gooden,1610612764,WAS,51,31,20,864.0,14,40,0.35,1,3,0.333,29,0.363
127,204079,Drew Gordon,1610612755,PHI,9,0,9,71.0,0,2,0.0,0,0,0.0,0,0.0
128,202779,Dwight Buycks,1610612747,LAL,6,1,5,123.0,10,21,0.476,4,7,0.571,24,0.571
129,2730,Dwight Howard,1610612745,HOU,40,28,12,1189.0,0,0,0.0,0,0,0.0,0,0.0
130,203939,Dwight Powell,1610612742,DAL,29,11,18,236.0,0,5,0.0,0,0,0.0,0,0.0
131,2548,Dwyane Wade,1610612748,MIA,61,27,34,1934.0,201,521,0.386,19,63,0.302,421,0.404
132,202734,E'Twaun Moore,1610612741,CHI,56,36,20,504.0,19,43,0.442,2,3,0.667,40,0.465
133,2853,Earl Barron,1610612756,PHX,16,5,11,143.0,0,3,0.0,0,0,0.0,0,0.0
134,201947,Earl Clark,1610612751,BKN,10,6,4,93.0,2,6,0.333,0,1,0.0,4,0.333
135,202334,Ed Davis,1610612747,LAL,79,20,59,1840.0,2,4,0.5,0,0,0.0,4,0.5
136,202327,Ekpe Udoh,1610612746,LAC,33,24,9,128.0,0,2,0.0,0,0,0.0,0,0.0
137,203901,Elfrid Payton,1610612753,ORL,82,25,57,2489.0,42,129,0.326,1,12,0.083,85,0.329
138,202407,Elijah Millsap,1610612762,UTA,47,25,22,924.0,10,43,0.233,1,10,0.1,21,0.244
139,202343,Elliot Williams,1610612755,PHI,13,6,7,119.0,3,11,0.273,1,3,0.333,7,0.318
140,1882,Elton Brand,1610612737,ATL,36,25,11,486.0,2,8,0.25,0,0,0.0,4,0.25
141,202683,Enes Kanter,1610612760,OKC,75,32,43,2136.0,8,20,0.4,1,1,1.0,17,0.425
142,202339,Eric Bledsoe,1610612756,PHX,81,39,42,2800.0,155,393,0.394,41,118,0.347,351,0.447
143,201569,Eric Gordon,1610612740,NOP,61,35,26,2018.0,57,173,0.329,16,55,0.291,130,0.376
144,203961,Eric Moreland,1610612758,SAC,3,0,3,2.0,0,0,0.0,0,0,0.0,0,0.0
