,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
0,201985,AJ Price,1610612750,MIN,28,15,13,99.0,6,16,0.375,18,6,13,0.462,0.563
1,201166,Aaron Brooks,1610612743,DEN,72,42,30,1557.0,69,160,0.431,206,68,154,0.442,0.644
2,201189,Aaron Gray,1610612758,SAC,36,11,25,348.0,8,11,0.727,16,0,1,0.0,0.727
3,203519,Adonis Thomas,1610612755,PHI,6,2,4,38.0,1,8,0.125,3,1,5,0.2,0.188
4,1733,Al Harrington,1610612764,WAS,33,20,13,497.0,36,102,0.353,104,32,94,0.34,0.51
5,201143,Al Horford,1610612737,ATL,29,16,13,958.0,93,180,0.517,190,4,9,0.444,0.528
6,2744,Al Jefferson,1610612766,CHA,72,37,35,2517.0,178,450,0.396,357,1,13,0.077,0.397
7,202329,Al-Farouq Aminu,1610612740,NOP,80,33,47,2045.0,47,141,0.333,107,13,47,0.277,0.379
8,101187,Alan Anderson,1610612751,BKN,77,42,35,1745.0,76,218,0.349,222,70,201,0.348,0.509
9,202692,Alec Burks,1610612762,UTA,78,24,54,2193.0,58,129,0.45,155,39,92,0.424,0.601
10,203458,Alex Len,1610612756,PHX,42,24,18,362.0,2,17,0.118,4,0,0,0.0,0.118
11,203144,Alexey Shved,1610612750,MIN,63,28,35,664.0,19,66,0.288,55,17,60,0.283,0.417
12,201582,Alexis Ajinca,1610612740,NOP,56,22,34,951.0,37,74,0.5,74,0,0,0.0,0.5
13,203459,Allen Crabbe,1610612757,POR,15,12,3,100.0,5,14,0.357,15,5,13,0.385,0.536
14,202087,Alonzo Gee,1610612739,CLE,65,29,36,1020.0,25,72,0.347,68,18,51,0.353,0.472
15,2405,Amar'e Stoudemire,1610612752,NYK,65,26,39,1466.0,83,173,0.48,166,0,0,0.0,0.48
16,101161,Amir Johnson,1610612761,TOR,76,42,34,2181.0,63,155,0.406,145,19,62,0.306,0.468
17,2760,Anderson Varejao,1610612739,CLE,65,25,40,1800.0,74,153,0.484,148,0,5,0.0,0.484
18,101154,Andray Blatche,1610612751,BKN,72,39,33,1591.0,60,173,0.347,134,14,43,0.326,0.387
19,203083,Andre Drummond,1610612765,DET,81,29,52,2619.0,2,7,0.286,4,0,2,0.0,0.286
20,2738,Andre Iguodala,1610612744,GSW,63,41,22,2040.0,63,161,0.391,183,57,146,0.39,0.568
21,1889,Andre Miller,1610612764,WAS,57,32,25,968.0,12,22,0.545,34,10,16,0.625,0.773
22,203460,Andre Roberson,1610612760,OKC,40,30,10,399.0,2,14,0.143,6,2,13,0.154,0.214
23,200745,Andrea Bargnani,1610612752,NYK,42,15,27,1257.0,112,271,0.413,253,29,106,0.274,0.467
24,1905,Andrei Kirilenko,1610612751,BKN,44,29,15,836.0,4,28,0.143,9,1,5,0.2,0.161
25,101106,Andrew Bogut,1610612744,GSW,66,39,27,1746.0,4,9,0.444,8,0,0,0.0,0.444
26,101115,Andrew Bynum,1610612754,IND,26,11,15,516.0,12,34,0.353,24,0,0,0.0,0.353
27,203094,Andrew Nicholson,1610612753,ORL,76,19,57,1174.0,90,232,0.388,208,28,87,0.322,0.448
28,2740,Andris Biedrins,1610612762,UTA,6,0,6,45.0,0,0,0.0,0,0,0,0.0,0.0
29,1712,Antawn Jamison,1610612746,LAC,22,15,7,248.0,11,56,0.196,30,8,41,0.195,0.268
30,203461,Anthony Bennett,1610612739,CLE,52,20,32,663.0,29,110,0.264,70,12,48,0.25,0.318
31,203076,Anthony Davis,1610612740,NOP,67,29,38,2358.0,111,283,0.392,224,2,8,0.25,0.396
32,201627,Anthony Morrow,1610612740,NOP,76,32,44,1426.0,113,249,0.454,308,82,180,0.456,0.618
33,201576,Anthony Randolph,1610612743,DEN,43,15,28,527.0,28,78,0.359,74,18,54,0.333,0.474
34,201229,Anthony Tolliver,1610612766,CHA,63,32,31,1281.0,103,251,0.41,307,101,239,0.423,0.612
35,203462,Archie Goodwin,1610612756,PHX,52,32,20,533.0,7,31,0.226,19,5,28,0.179,0.306
36,202620,Arinze Onuaku,1610612739,CLE,5,2,3,30.0,0,1,0.0,0,0,0,0.0,0.0
37,203102,Arnett Moultrie,1610612755,PHI,12,0,12,187.0,8,19,0.421,16,0,0,0.0,0.421
38,203382,Aron Baynes,1610612759,SAS,53,41,12,491.0,10,35,0.286,20,0,0,0.0,0.286
39,201167,Arron Afflalo,1610612753,ORL,73,21,52,2552.0,190,425,0.447,489,109,255,0.427,0.575
40,201948,Austin Daye,1610612759,SAS,22,16,6,148.0,14,42,0.333,40,12,36,0.333,0.476
41,203085,Austin Rivers,1610612740,NOP,69,27,42,1339.0,33,82,0.402,99,33,74,0.446,0.604
42,202340,Avery Bradley,1610612738,BOS,60,19,41,1855.0,140,330,0.424,354,74,185,0.4,0.536
43,2732,Ben Gordon,1610612766,CHA,19,8,11,279.0,10,32,0.313,27,7,22,0.318,0.422
44,203463,Ben McLemore,1610612758,SAC,81,28,53,2169.0,114,337,0.338,312,84,249,0.337,0.463
45,2757,Beno Udrih,1610612763,MEM,41,18,23,643.0,23,51,0.451,63,17,36,0.472,0.618
46,203108,Bernard James,1610612742,DAL,30,17,13,146.0,0,2,0.0,0,0,1,0.0,0.0
47,202687,Bismack Biyombo,1610612766,CHA,76,41,35,1061.0,7,14,0.5,14,0,0,0.0,0.5
48,201933,Blake Griffin,1610612746,LAC,80,56,24,2863.0,151,401,0.377,312,10,36,0.278,0.389
49,2564,Boris Diaw,1610612759,SAS,79,60,19,1974.0,72,185,0.389,189,45,107,0.421,0.511
50,203078,Bradley Beal,1610612764,WAS,72,40,32,2494.0,148,376,0.394,419,123,295,0.417,0.557
51,201148,Brandan Wright,1610612742,DAL,58,36,22,1077.0,15,27,0.556,30,0,0,0.0,0.556
52,101138,Brandon Bass,1610612738,BOS,82,25,57,2266.0,112,235,0.477,224,0,2,0.0,0.477
53,203561,Brandon Davies,1610612755,PHI,51,15,36,575.0,7,32,0.219,16,2,10,0.2,0.25
54,201943,Brandon Jennings,1610612765,DET,80,28,52,2728.0,65,199,0.327,185,55,180,0.306,0.465
55,202688,Brandon Knight,1610612749,MIL,72,13,59,2400.0,78,214,0.364,214,58,175,0.331,0.5
56,201575,Brandon Rush,1610612762,UTA,38,13,25,418.0,16,42,0.381,45,13,38,0.342,0.536
57,203148,Brian Roberts,1610612740,NOP,72,28,44,1667.0,65,162,0.401,175,45,116,0.388,0.54
58,201572,Brook Lopez,1610612751,BKN,17,7,10,533.0,32,61,0.525,64,0,1,0.0,0.525
59,201957,Byron Mullens,1610612755,PHI,45,16,29,414.0,40,103,0.388,112,32,86,0.372,0.544
60,201228,C.J. Watson,1610612754,IND,63,48,15,1193.0,47,119,0.395,138,44,112,0.393,0.58
61,203468,CJ McCollum,1610612757,POR,38,21,17,476.0,29,64,0.453,83,25,58,0.431,0.648
62,101139,CJ Miles,1610612739,CLE,51,21,30,984.0,84,218,0.385,242,74,191,0.387,0.555
63,201171,Carl Landry,1610612758,SAC,18,5,13,233.0,14,25,0.56,28,0,0,0.0,0.56
64,2430,Carlos Boozer,1610612741,CHI,76,43,33,2141.0,155,359,0.432,310,0,2,0.0,0.432
65,2546,Carmelo Anthony,1610612752,NYK,77,35,42,2982.0,257,559,0.46,630,116,270,0.43,0.564
