,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
0,201166,Aaron Brooks,1610612741,CHI,69,36,33,1108.0,36,88,0.409,108,36,84,0.429,0.614
1,203932,Aaron Gordon,1610612753,ORL,77,32,45,1857.0,51,165,0.309,142,40,131,0.305,0.43
2,1626151,Aaron Harrison,1610612766,CHA,21,15,6,93.0,3,13,0.231,9,3,10,0.3,0.346
3,203940,Adreian Payne,1610612750,MIN,52,18,34,486.0,17,51,0.333,41,7,26,0.269,0.402
4,201143,Al Horford,1610612737,ATL,82,48,34,2631.0,234,567,0.413,556,88,254,0.346,0.49
5,2744,Al Jefferson,1610612766,CHA,47,33,14,1096.0,66,140,0.471,132,0,0,0.0,0.471
6,202329,Al-Farouq Aminu,1610612757,POR,82,44,38,2341.0,131,359,0.365,380,118,328,0.36,0.529
7,101187,Alan Anderson,1610612764,WAS,13,8,5,192.0,12,35,0.343,35,11,34,0.324,0.5
8,1626210,Alan Williams,1610612756,PHX,10,3,7,68.0,0,0,0.0,0,0,0,0.0,0.0
9,202692,Alec Burks,1610612762,UTA,31,13,18,797.0,21,54,0.389,61,19,47,0.404,0.565
10,203458,Alex Len,1610612756,PHX,78,23,55,1821.0,63,183,0.344,127,1,6,0.167,0.347
11,1627293,Alex Stepheson,1610612763,MEM,8,2,6,72.0,1,2,0.5,2,0,0,0.0,0.5
12,201582,Alexis Ajinca,1610612740,NOP,59,20,39,861.0,52,126,0.413,104,0,1,0.0,0.413
13,203459,Allen Crabbe,1610612757,POR,81,43,38,2105.0,137,328,0.418,382,108,264,0.409,0.582
14,202087,Alonzo Gee,1610612740,NOP,73,27,46,1632.0,21,67,0.313,58,16,55,0.291,0.433
15,2405,Amar'e Stoudemire,1610612748,MIA,52,30,22,762.0,17,39,0.436,34,0,0,0.0,0.436
16,101161,Amir Johnson,1610612738,BOS,78,44,34,1777.0,13,51,0.255,35,9,39,0.231,0.343
17,2760,Anderson Varejao,1610612744,GSW,53,41,12,496.0,17,45,0.378,34,0,1,0.0,0.378
18,203083,Andre Drummond,1610612765,DET,81,43,38,2666.0,10,24,0.417,21,1,2,0.5,0.438
19,2738,Andre Iguodala,1610612744,GSW,65,59,6,1732.0,54,140,0.386,156,48,123,0.39,0.557
20,1889,Andre Miller,1610612759,SAS,39,20,19,461.0,3,7,0.429,8,2,4,0.5,0.571
21,203460,Andre Roberson,1610612760,OKC,70,48,22,1553.0,32,101,0.317,96,32,100,0.32,0.475
22,200745,Andrea Bargnani,1610612751,BKN,46,11,35,634.0,73,169,0.432,149,3,16,0.188,0.441
23,101106,Andrew Bogut,1610612744,GSW,70,62,8,1451.0,2,10,0.2,4,0,0,0.0,0.2
24,202726,Andrew Goudelock,1610612745,HOU,8,5,3,50.0,1,4,0.25,2,0,3,0.0,0.25
25,203094,Andrew Nicholson,1610612753,ORL,55,22,33,820.0,47,126,0.373,134,40,109,0.367,0.532
26,203952,Andrew Wiggins,1610612750,MIN,81,29,52,2845.0,76,216,0.352,197,45,136,0.331,0.456
27,203461,Anthony Bennett,1610612761,TOR,19,12,7,84.0,3,13,0.231,9,3,13,0.231,0.346
28,1626148,Anthony Brown,1610612747,LAL,29,4,25,599.0,22,78,0.282,63,19,65,0.292,0.404
29,203076,Anthony Davis,1610612740,NOP,61,24,37,2164.0,147,349,0.421,327,33,101,0.327,0.468
30,201627,Anthony Morrow,1610612760,OKC,68,46,22,926.0,82,205,0.4,236,72,185,0.389,0.576
