,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,PULL_UP_FGM,PULL_UP_FGA,PULL_UP_FG_PCT,PULL_UP_FG3M,PULL_UP_FG3A,PULL_UP_FG3_PCT,PULL_UP_PTS,PULL_UP_EFG_PCT
455,202344,Trevor Booker,1610612764,WAS,71,36,35,1529.0,12,25,0.48,0,0,0.0,24,0.48
456,203504,Trey Burke,1610612762,UTA,70,24,46,2262.0,131,362,0.362,21,66,0.318,283,0.391
457,202684,Tristan Thompson,1610612739,CLE,82,33,49,2594.0,37,89,0.416,0,0,0.0,74,0.416
458,203584,Troy Daniels,1610612745,HOU,5,3,2,75.0,5,9,0.556,4,6,0.667,14,0.778
459,201951,Ty Lawson,1610612743,DEN,62,29,33,2222.0,137,371,0.369,28,82,0.341,302,0.407
460,201946,Tyler Hansbrough,1610612761,TOR,63,37,26,962.0,0,2,0.0,0,1,0.0,0,0.0
461,203092,Tyler Zeller,1610612739,CLE,70,27,43,1049.0,4,7,0.571,0,0,0.0,8,0.571
462,201936,Tyreke Evans,1610612740,NOP,72,32,40,2028.0,30,129,0.233,5,37,0.135,65,0.252
463,203116,Tyshawn Taylor,1610612751,BKN,22,10,12,262.0,7,26,0.269,1,5,0.2,15,0.288
464,2199,Tyson Chandler,1610612752,NYK,55,24,31,1662.0,3,4,0.75,0,0,0.0,6,0.75
465,2617,Udonis Haslem,1610612748,MIA,46,30,16,653.0,3,6,0.5,0,0,0.0,6,0.5
466,203505,Vander Blue,1610612738,BOS,3,1,2,15.0,0,1,0.0,0,0,0.0,0,0.0
467,203139,Viacheslav Kravtsov,1610612756,PHX,20,13,7,59.0,0,0,0.0,0,0,0.0,0,0.0
468,201964,Victor Claver,1610612757,POR,21,13,8,184.0,0,5,0.0,0,3,0.0,0,0.0
469,203506,Victor Oladipo,1610612753,ORL,80,23,57,2487.0,111,315,0.352,16,58,0.276,238,0.378
470,1713,Vince Carter,1610612742,DAL,81,49,32,1973.0,90,249,0.361,37,100,0.37,217,0.436
471,203543,Vitor Faverani,1610612738,BOS,37,13,24,488.0,0,4,0.0,0,2,0.0,0,0.0
472,201961,Wayne Ellington,1610612742,DAL,45,23,22,393.0,12,34,0.353,4,12,0.333,28,0.412
473,202325,Wesley Johnson,1610612747,LAL,79,27,52,2240.0,35,118,0.297,7,21,0.333,77,0.326
474,202083,Wesley Matthews,1610612757,POR,82,54,28,2780.0,99,263,0.376,28,87,0.322,226,0.43
475,203115,Will Barton,1610612757,POR,41,27,14,387.0,11,45,0.244,4,11,0.364,26,0.289
476,101198,Will Bynum,1610612765,DET,56,17,39,1054.0,54,144,0.375,9,25,0.36,117,0.406
477,2584,Willie Green,1610612746,LAC,55,38,17,869.0,19,56,0.339,2,15,0.133,40,0.357
478,201163,Wilson Chandler,1610612743,DEN,62,27,35,1927.0,39,123,0.317,4,24,0.167,82,0.333
479,202333,Xavier Henry,1610612747,LAL,43,16,27,908.0,33,87,0.379,4,18,0.222,70,0.402
480,2216,Zach Randolph,1610612763,MEM,79,49,30,2705.0,56,145,0.386,0,5,0.0,112,0.386
481,2585,Zaza Pachulia,1610612749,MIL,52,10,42,1310.0,3,14,0.214,0,0,0.0,6,0.214
