,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
0,201985,AJ Price,1610612739,CLE,26,11,15,324.0,10,31,0.323,30,10,28,0.357,0.484
1,201166,Aaron Brooks,1610612741,CHI,82,50,32,1885.0,71,168,0.423,210,68,162,0.42,0.625
2,203932,Aaron Gordon,1610612753,ORL,47,14,33,797.0,14,57,0.246,40,12,46,0.261,0.351
3,203940,Adreian Payne,1610612750,MIN,32,7,25,740.0,31,84,0.369,63,1,9,0.111,0.375
4,201143,Al Horford,1610612737,ATL,76,56,20,2318.0,210,446,0.471,431,11,33,0.333,0.483
5,2744,Al Jefferson,1610612766,CHA,65,25,40,1992.0,122,282,0.433,245,1,4,0.25,0.434
6,202329,Al-Farouq Aminu,1610612742,DAL,74,45,29,1366.0,38,142,0.268,110,34,121,0.281,0.387
7,101187,Alan Anderson,1610612751,BKN,74,35,39,1744.0,68,183,0.372,196,60,168,0.357,0.536
8,202692,Alec Burks,1610612762,UTA,27,9,18,899.0,21,50,0.42,60,18,44,0.409,0.6
9,203945,Alex Kirk,1610612739,CLE,5,2,3,14.0,0,2,0.0,0,0,0,0.0,0.0
10,203458,Alex Len,1610612756,PHX,69,35,34,1518.0,29,94,0.309,59,1,3,0.333,0.314
11,203144,Alexey Shved,1610612752,NYK,42,10,32,767.0,26,76,0.342,77,25,69,0.362,0.507
12,201582,Alexis Ajinca,1610612740,NOP,68,41,27,957.0,33,80,0.413,66,0,0,0.0,0.413
13,203459,Allen Crabbe,1610612757,POR,51,36,15,683.0,34,95,0.358,98,30,80,0.375,0.516
14,202087,Alonzo Gee,1610612757,POR,54,21,33,661.0,14,36,0.389,41,13,32,0.406,0.569
15,2405,Amar'e Stoudemire,1610612742,DAL,58,19,39,1236.0,32,86,0.372,64,0,2,0.0,0.372
16,101161,Amir Johnson,1610612761,TOR,75,44,31,1979.0,35,80,0.438,89,19,46,0.413,0.556
17,2760,Anderson Varejao,1610612739,CLE,26,16,10,636.0,26,50,0.52,52,0,2,0.0,0.52
18,203958,Andre Dawkins,1610612748,MIA,4,2,2,22.0,1,5,0.2,3,1,5,0.2,0.3
19,203083,Andre Drummond,1610612765,DET,82,32,50,2502.0,3,11,0.273,6,0,2,0.0,0.273
20,2738,Andre Iguodala,1610612744,GSW,77,64,13,2069.0,72,210,0.343,208,64,186,0.344,0.495
21,1889,Andre Miller,1610612758,SAC,81,44,37,1253.0,9,28,0.321,24,6,25,0.24,0.429
22,203460,Andre Roberson,1610612760,OKC,67,41,26,1286.0,21,82,0.256,62,20,81,0.247,0.378
23,200745,Andrea Bargnani,1610612752,NYK,29,5,24,785.0,95,205,0.463,205,15,41,0.366,0.5
24,1905,Andrei Kirilenko,1610612751,BKN,7,3,4,36.0,0,0,0.0,0,0,0,0.0,0.0
25,101106,Andrew Bogut,1610612744,GSW,67,58,9,1583.0,1,3,0.333,2,0,0,0.0,0.333
26,203094,Andrew Nicholson,1610612753,ORL,40,14,26,492.0,38,99,0.384,88,12,39,0.308,0.444
27,203952,Andrew Wiggins,1610612750,MIN,81,16,65,2937.0,83,219,0.379,199,33,95,0.347,0.454
28,203461,Anthony Bennett,1610612750,MIN,56,12,44,885.0,50,151,0.331,107,7,22,0.318,0.354
29,203076,Anthony Davis,1610612740,NOP,68,39,29,2455.0,160,362,0.442,321,1,8,0.125,0.443
30,201627,Anthony Morrow,1610612760,OKC,74,42,32,1806.0,170,371,0.458,478,138,305,0.452,0.644
31,201229,Anthony Tolliver,1610612765,DET,76,36,40,1433.0,113,308,0.367,332,106,286,0.371,0.539
32,203462,Archie Goodwin,1610612756,PHX,41,16,25,535.0,12,37,0.324,35,11,34,0.324,0.473
33,202620,Arinze Onuaku,1610612750,MIN,6,0,6,68.0,0,0,0.0,0,0,0,0.0,0.0
34,203382,Aron Baynes,1610612759,SAS,70,49,21,1122.0,29,59,0.492,59,1,4,0.25,0.5
35,201167,Arron Afflalo,1610612757,POR,78,35,43,2502.0,155,391,0.396,418,108,296,0.365,0.535
36,201948,Austin Daye,1610612737,ATL,34,17,17,344.0,26,77,0.338,74,22,67,0.328,0.481
37,203085,Austin Rivers,1610612746,LAC,76,46,30,1563.0,36,113,0.319,105,33,108,0.306,0.465
38,202340,Avery Bradley,1610612738,BOS,77,37,40,2428.0,168,433,0.388,439,103,278,0.371,0.507
39,2732,Ben Gordon,1610612753,ORL,56,17,39,790.0,29,70,0.414,82,24,57,0.421,0.586
40,203463,Ben McLemore,1610612758,SAC,82,29,53,2670.0,145,396,0.366,413,123,342,0.36,0.521
41,2757,Beno Udrih,1610612763,MEM,79,55,24,1494.0,48,123,0.39,118,22,74,0.297,0.48
42,203108,Bernard James,1610612742,DAL,16,6,10,158.0,0,0,0.0,0,0,0,0.0,0.0
43,202687,Bismack Biyombo,1610612766,CHA,64,26,38,1243.0,2,7,0.286,4,0,0,0.0,0.286
44,201933,Blake Griffin,1610612746,LAC,67,47,20,2356.0,161,384,0.419,329,7,16,0.438,0.428
45,202711,Bojan Bogdanovic,1610612751,BKN,78,36,42,1854.0,90,252,0.357,267,87,235,0.37,0.53
46,2564,Boris Diaw,1610612759,SAS,81,55,26,1984.0,67,201,0.333,185,51,160,0.319,0.46
47,203078,Bradley Beal,1610612764,WAS,63,37,26,2107.0,112,288,0.389,314,90,217,0.415,0.545
48,201148,Brandan Wright,1610612756,PHX,75,37,38,1449.0,10,19,0.526,20,0,2,0.0,0.526
49,101138,Brandon Bass,1610612738,BOS,82,40,42,1929.0,104,248,0.419,217,9,30,0.3,0.438
50,203561,Brandon Davies,1610612755,PHI,27,6,21,423.0,19,57,0.333,46,8,31,0.258,0.404
51,201943,Brandon Jennings,1610612765,DET,41,17,24,1173.0,33,87,0.379,96,30,80,0.375,0.552
52,202688,Brandon Knight,1610612756,PHX,62,32,30,2000.0,84,215,0.391,243,75,195,0.385,0.565
53,201575,Brandon Rush,1610612744,GSW,33,27,6,271.0,3,24,0.125,9,3,24,0.125,0.188
54,2217,Brendan Haywood,1610612739,CLE,22,14,8,119.0,2,4,0.5,4,0,0,0.0,0.5
55,203148,Brian Roberts,1610612766,CHA,72,30,42,1330.0,52,153,0.34,141,37,120,0.308,0.461
56,201572,Brook Lopez,1610612751,BKN,72,34,38,2100.0,137,296,0.463,275,1,8,0.125,0.465
57,203998,Bruno Caboclo,1610612761,TOR,8,7,1,23.0,1,2,0.5,3,1,2,0.5,0.75
58,203955,Bryce Cotton,1610612762,UTA,15,9,6,159.0,4,15,0.267,12,4,13,0.308,0.4
59,201228,C.J. Watson,1610612754,IND,57,25,32,1422.0,60,139,0.432,174,54,123,0.439,0.626
60,203468,CJ McCollum,1610612757,POR,62,37,25,973.0,48,119,0.403,141,45,114,0.395,0.592
61,101139,CJ Miles,1610612754,IND,70,31,39,1841.0,172,487,0.353,484,140,390,0.359,0.497
62,203912,CJ Wilcox,1610612746,LAC,21,15,6,101.0,7,25,0.28,19,5,17,0.294,0.38
63,203946,Cameron Bairstow,1610612741,CHI,18,12,6,64.0,2,6,0.333,4,0,0,0.0,0.333
64,201171,Carl Landry,1610612758,SAC,70,26,44,1192.0,54,131,0.412,108,0,0,0.0,0.412
65,2430,Carlos Boozer,1610612747,LAL,71,18,53,1692.0,85,207,0.411,170,0,0,0.0,0.411
66,2546,Carmelo Anthony,1610612752,NYK,39,10,29,1400.0,123,286,0.43,292,46,129,0.357,0.51
67,2406,Caron Butler,1610612765,DET,78,30,48,1623.0,86,227,0.379,246,74,189,0.392,0.542
68,201858,Cartier Martin,1610612765,DET,23,7,16,198.0,6,33,0.182,17,5,29,0.172,0.258
69,202718,Chandler Parsons,1610612742,DAL,66,41,25,2186.0,121,325,0.372,353,111,297,0.374,0.543
70,101112,Channing Frye,1610612753,ORL,75,23,52,1870.0,159,394,0.404,453,135,336,0.402,0.575
